PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28373662","Thermal stratification drives movement of a coastal apex predator","Aspillaga E, Bartumeus F, Starr RM, López-Sanz À, Linares C, Díaz D, Garrabou J, Zabala M, Hereu B.","Sci Rep. 2017 Apr 3;7(1):526. doi: 10.1038/s41598-017-00576-z.","Aspillaga E","Sci Rep","2017","2017/04/05","PMC5428662","","10.1038/s41598-017-00576-z"
"29127633","Natural and anthropogenic particulate-bound aliphatic and polycyclic aromatic hydrocarbons in surface waters of the Gulf of Gabès (Tunisia, southern Mediterranean Sea)","Fourati R, Tedetti M, Guigue C, Goutx M, Zaghden H, Sayadi S, Elleuch B.","Environ Sci Pollut Res Int. 2018 Jan;25(3):2476-2494. doi: 10.1007/s11356-017-0641-7. Epub 2017 Nov 10.","Fourati R","Environ Sci Pollut Res Int","2018","2017/11/12","","","10.1007/s11356-017-0641-7"
"28975560","Observational study of potential risk factors of immersion pulmonary edema in healthy divers: exercise intensity is the main contributor","Boussuges A, Ayme K, Chaumet G, Albier E, Borgnetta M, Gavarry O.","Sports Med Open. 2017 Oct 3;3(1):35. doi: 10.1186/s40798-017-0104-1.","Boussuges A","Sports Med Open","2017","2017/10/05","PMC5626674","","10.1186/s40798-017-0104-1"
"27998818","Does specific parameterization of WHAM improve the prediction of copper competitive binding and toxicity on plant roots?","Guigues S, Bravin MN, Garnier C, Doelsch E.","Chemosphere. 2017 Mar;170:225-232. doi: 10.1016/j.chemosphere.2016.12.017. Epub 2016 Dec 7.","Guigues S","Chemosphere","2017","2016/12/22","","","10.1016/j.chemosphere.2016.12.017"
"28281054","High contribution of the particulate uptake pathway to metal bioaccumulation in the tropical marine clam Gafrarium pectinatum","Hédouin L, Metian M, Teyssié JL, Fichez R, Warnau M.","Environ Sci Pollut Res Int. 2018 Apr;25(12):11206-11218. doi: 10.1007/s11356-017-8562-z. Epub 2017 Mar 9.","Hédouin L","Environ Sci Pollut Res Int","2018","2017/03/11","","","10.1007/s11356-017-8562-z"
"28521933","An integrated method to evaluate and monitor the conservation state of coralligenous habitats: The INDEX-COR approach","Sartoretto S, Schohn T, Bianchi CN, Morri C, Garrabou J, Ballesteros E, Ruitton S, Verlaque M, Daniel B, Charbonnel E, Blouet S, David R, Féral JP, Gatti G.","Mar Pollut Bull. 2017 Jul 15;120(1-2):222-231. doi: 10.1016/j.marpolbul.2017.05.020. Epub 2017 May 15.","Sartoretto S","Mar Pollut Bull","2017","2017/05/20","","","10.1016/j.marpolbul.2017.05.020"
"27540899","Testing the effect of text messaging cues to promote physical activity habits: a worksite-based exploratory intervention","Fournier M, d'Arripe-Longueville F, Radel R.","Scand J Med Sci Sports. 2017 Oct;27(10):1157-1165. doi: 10.1111/sms.12730. Epub 2016 Aug 19.","Fournier M","Scand J Med Sci Sports","2017","2016/08/20","","","10.1111/sms.12730"
"27957631","Virgibacillus ainsalahensis sp. nov., a Moderately Halophilic Bacterium Isolated from Sediment of a Saline Lake in South of Algeria","Amziane M, Darenfed-Bouanane A, Abderrahmani A, Selama O, Jouadi L, Cayol JL, Nateche F, Fardeau ML.","Curr Microbiol. 2017 Feb;74(2):219-223. doi: 10.1007/s00284-016-1171-0. Epub 2016 Dec 12.","Amziane M","Curr Microbiol","2017","2016/12/14","","","10.1007/s00284-016-1171-0"
"27626618","Parameterizing the binding properties of dissolved organic matter with default values skews the prediction of copper solution speciation and ecotoxicity in soil","Djae T, Bravin MN, Garnier C, Doelsch E.","Environ Toxicol Chem. 2017 Apr;36(4):898-905. doi: 10.1002/etc.3622. Epub 2016 Dec 9.","Djae T","Environ Toxicol Chem","2017","2016/09/15","","","10.1002/etc.3622"
"28871244","Microbial Diversity in Sulfate-Reducing Marine Sediment Enrichment Cultures Associated with Anaerobic Biotransformation of Coastal Stockpiled Phosphogypsum (Sfax, Tunisia)","Zouch H, Karray F, Armougom F, Chifflet S, Hirschler-Réa A, Kharrat H, Kamoun L, Ben Hania W, Ollivier B, Sayadi S, Quéméneur M.","Front Microbiol. 2017 Aug 21;8:1583. doi: 10.3389/fmicb.2017.01583. eCollection 2017.","Zouch H","Front Microbiol","2017","2017/09/06","PMC5566975","","10.3389/fmicb.2017.01583"
"28775667","An algorithm for the reconstruction of high-energy neutrino-induced particle showers and its application to the ANTARES neutrino telescope","Albert A, André M, Anghinolfi M, Anton G, Ardid M, Aubert JJ, Avgitas T, Baret B, Barrios-Martí J, Basa S, Bertin V, Biagi S, Bormuth R, Bourret S, Bouwhuis MC, Bruijn R, Brunner J, Busto J, Capone A, Caramete L, Carr J, Celli S, Chiarusi T, Circella M, Coelho JAB, Coleiro A, Coniglione R, Costantini H, Coyle P, Creusot A, Deschamps A, De Bonis G, Distefano C, Di Palma I, Domi A, Donzaud C, Dornic D, Drouhin D, Eberl T, El Bojaddaini I, Elsässer D, Enzenhöfer A, Felis I, Folger F, Fusco LA, Galatà S, Gay P, Giordano V, Glotin H, Grégoire T, Gracia Ruiz R, Graf K, Hallmann S, van Haren H, Heijboer AJ, Hello Y, Hernández-Rey JJ, Hößl J, Hofestädt J, Hugon C, Illuminati G, James CW, de Jong M, Jongen M, Kadler M, Kalekin O, Katz U, Kießling D, Kouchner A, Kreter M, Kreykenbohm I, Kulikovskiy V, Lachaud C, Lahmann R, Lefèvre D, Leonora E, Lotze M, Loucatos S, Marcelin M, Margiotta A, Marinelli A, Martínez-Mora JA, Mele R, Melis K, Michael T, Migliozzi P, Moussa A, Nezri E, Organokov M, Păvălaş GE, Pellegrino C, Perrina C, Piattelli P, Popa V, Pradier T, Quinn L, Racca C, Riccobene G, Sánchez-Losa A, Saldaña M, et al.","Eur Phys J C Part Fields. 2017;77(6):419. doi: 10.1140/epjc/s10052-017-4979-2. Epub 2017 Jun 21.","Albert A","Eur Phys J C Part Fields","2017","2017/08/05","PMC5512345","","10.1140/epjc/s10052-017-4979-2"
"28964168","Reactor for nano-focused x-ray diffraction and imaging under catalytic in situ conditions","Richard MI, Fernández S, Hofmann JP, Gao L, Chahine GA, Leake SJ, Djazouli H, De Bortoli Y, Petit L, Boesecke P, Labat S, Hensen EJM, Thomas O, Schülli T.","Rev Sci Instrum. 2017 Sep;88(9):093902. doi: 10.1063/1.5000015.","Richard MI","Rev Sci Instrum","2017","2017/10/02","","","10.1063/1.5000015"
"29097459","Genome Sequence of Piezophilic Bacterium Desulfovibrio profundus Strain 500-1, Isolated from a Deep Sediment Layer in the Japan Sea","Fouteau S, Guerin T, Magdelenat G, Roumagnac M, Bartoli M, Ollivier B, Dolla A, Barbe V, Pradel N.","Genome Announc. 2017 Nov 2;5(44):e01181-17. doi: 10.1128/genomeA.01181-17.","Fouteau S","Genome Announc","2017","2017/11/04","PMC5668535","","10.1128/genomeA.01181-17"
"29124868","Obligate sugar oxidation in Mesotoga spp., phylum Thermotogae, in the presence of either elemental sulfur or hydrogenotrophic sulfate-reducers as electron acceptor","Fadhlaoui K, Ben Hania W, Armougom F, Bartoli M, Fardeau ML, Erauso G, Brasseur G, Aubert C, Hamdi M, Brochier-Armanet C, Dolla A, Ollivier B.","Environ Microbiol. 2018 Jan;20(1):281-292. doi: 10.1111/1462-2920.13995. Epub 2017 Dec 7.","Fadhlaoui K","Environ Microbiol","2018","2017/11/11","","","10.1111/1462-2920.13995"
"29347237","Linear and nonlinear response of the Vlasov system with nonintegrable Hamiltonian","Ogawa S.","Phys Rev E. 2017 Jul;96(1-1):012112. doi: 10.1103/PhysRevE.96.012112. Epub 2017 Jul 7.","Ogawa S","Phys Rev E","2017","2018/01/20","","","10.1103/PhysRevE.96.012112"
"28256856","Minimal Excitations in the Fractional Quantum Hall Regime","Rech J, Ferraro D, Jonckheere T, Vannucci L, Sassetti M, Martin T.","Phys Rev Lett. 2017 Feb 17;118(7):076801. doi: 10.1103/PhysRevLett.118.076801. Epub 2017 Feb 13.","Rech J","Phys Rev Lett","2017","2017/03/04","","","10.1103/PhysRevLett.118.076801"
"28572556","Sr(1/2)Ce(5/14)□(1/7)WO(4): a new modulated ternary scheelite compound","Damascena Dos Passos RH, Arab M, Pereira de Souza C, Leroux C.","Acta Crystallogr B Struct Sci Cryst Eng Mater. 2017 Jun 1;73(Pt 3):466-473. doi: 10.1107/S2052520617002827. Epub 2017 Jun 1.","Damascena Dos Passos RH","Acta Crystallogr B Struct Sci Cryst Eng Mater","2017","2017/06/03","","","10.1107/S2052520617002827"
"29198862","Towards smart biocide-free anti-biofilm strategies: Click-based synthesis of cinnamide analogues as anti-biofilm compounds against marine bacteria","Sall C, Ayé M, Bottzeck O, Praud A, Blache Y.","Bioorg Med Chem Lett. 2018 Jan 15;28(2):155-159. doi: 10.1016/j.bmcl.2017.11.039. Epub 2017 Nov 24.","Sall C","Bioorg Med Chem Lett","2018","2017/12/05","","","10.1016/j.bmcl.2017.11.039"
"28413069","Improving the upper-limb force feasible set evaluation by muscles maximal isometric force identification and cocontraction factors","Hernandez V, Venture G, Rezzoug N, Gorce P.","J Biomech. 2017 May 24;57:131-135. doi: 10.1016/j.jbiomech.2017.03.021. Epub 2017 Apr 4.","Hernandez V","J Biomech","2017","2017/04/18","","","10.1016/j.jbiomech.2017.03.021"
"28155852","Electron transport in ultra-thin films and ballistic electron emission microscopy","Claveau Y, Di Matteo S, de Andres PL, Flores F.","J Phys Condens Matter. 2017 Mar 22;29(11):115001. doi: 10.1088/1361-648X/aa575e. Epub 2017 Feb 3.","Claveau Y","J Phys Condens Matter","2017","2017/02/04","","","10.1088/1361-648X/aa575e"
"28878561","Temperature profile in a liquid-vapour interface near the critical point","Gouin H, Seppecher P.","Proc Math Phys Eng Sci. 2017 Aug;473(2204):20170229. doi: 10.1098/rspa.2017.0229. Epub 2017 Aug 9.","Gouin H","Proc Math Phys Eng Sci","2017","2017/09/08","PMC5582182","","10.1098/rspa.2017.0229"
"28225255","Dealing with Flow Effects on the Uptake of Polar Compounds by Passive Samplers","Fauvelle V, Kaserzon SL, Montero N, Lissalde S, Allan IJ, Mills G, Mazzella N, Mueller JF, Booij K.","Environ Sci Technol. 2017 Mar 7;51(5):2536-2537. doi: 10.1021/acs.est.7b00558. Epub 2017 Feb 22.","Fauvelle V","Environ Sci Technol","2017","2017/02/23","","","10.1021/acs.est.7b00558"
"27976379","Feeding ecology of silky sharks Carcharhinus falciformis associated with floating objects in the western Indian Ocean","Filmalter JD, Cowley PD, Potier M, Ménard F, Smale MJ, Cherel Y, Dagorn L.","J Fish Biol. 2017 Apr;90(4):1321-1337. doi: 10.1111/jfb.13241. Epub 2016 Dec 14.","Filmalter JD","J Fish Biol","2017","2016/12/16","","","10.1111/jfb.13241"
